hr,sys,dia,spo2,stress
72,130,87,99,0
86,117,80,99,1
65,120,76,99,0
82,111,85,98,1
76,115,87,100,1
92,122,76,96,1
96,113,73,94,2
75,113,83,94,2
66,115,75,94,2
88,131,76,94,2
96,127,71,100,2
89,111,71,97,1
98,120,73,99,2
109,116,80,95,2
92,110,90,97,1
100,119,75,99,2
93,128,90,97,1
70,119,80,95,2
107,115,72,94,2
97,117,77,99,2
73,110,87,96,0
109,130,88,98,2
61,124,86,95,2
94,118,71,98,1
93,111,70,100,1
96,126,85,97,2
62,110,86,94,2
75,116,75,95,2
100,132,89,97,2
70,113,79,94,2
70,127,83,94,2
73,126,76,95,2
78,119,80,96,1
89,121,72,95,2
93,113,89,100,1
80,117,76,100,1
98,128,83,95,2
71,124,71,98,0
100,121,82,95,2
99,114,71,98,2
102,127,82,94,2
62,131,72,97,0
103,134,71,96,2
85,131,73,94,2
83,131,86,97,1
95,127,88,96,1
82,134,72,95,2
101,123,82,96,2
73,133,70,94,2
78,128,86,96,1
70,131,73,96,0
65,117,73,96,0
106,118,84,94,2
85,126,70,94,2
79,134,85,99,1
105,112,76,99,2
73,110,81,94,2
90,117,77,97,1
73,126,72,100,0
72,121,83,96,0
73,122,72,94,2
94,120,71,100,1
85,134,73,95,2
61,114,85,98,0
68,112,73,96,0
72,115,80,98,0
87,111,75,99,1
95,125,82,95,2
68,110,84,99,0
96,128,77,97,2
61,126,89,97,0
96,119,88,98,2
66,130,77,97,0
66,127,75,97,0
93,129,81,96,1
87,119,81,95,2
65,110,72,98,0
96,131,81,99,2
68,124,82,96,0
70,114,71,100,0
60,123,77,98,0
105,113,89,95,2
71,114,82,98,0
61,127,87,97,0
89,134,90,96,1
63,121,73,98,0
65,116,74,99,0
87,128,86,95,2
94,126,81,99,1
95,122,75,100,1
93,119,74,100,1
72,124,85,96,0
76,122,77,100,1
81,113,82,94,2
70,126,77,96,0
74,133,77,98,0
108,132,83,97,2
95,120,78,95,2
110,126,76,98,2
80,115,81,95,2
80,114,82,99,1
97,123,71,98,2
106,122,75,97,2
64,121,79,94,2
96,129,85,100,2
85,125,70,95,2
63,119,83,100,0
68,110,80,94,2
60,124,86,100,0
79,116,88,98,1
102,128,90,99,2
103,130,78,96,2
75,110,71,96,0
81,132,76,100,1
82,126,77,99,1
73,134,73,94,2
65,129,75,98,0
70,117,71,95,2
97,114,75,94,2
108,121,88,95,2
98,127,84,98,2
83,114,70,98,1
108,132,85,98,2
71,127,79,97,0
85,130,83,95,2
100,116,89,98,2
66,128,73,95,2
93,125,85,99,1
103,134,79,97,2
95,124,85,95,2
94,113,76,94,2
68,126,78,98,0
107,116,88,99,2
81,117,77,94,2
103,128,76,99,2
63,132,80,94,2
92,129,77,98,1
92,116,84,98,1
65,129,73,98,0
60,117,75,99,0
110,118,85,94,2
76,124,79,95,2
62,125,85,100,0
69,121,90,100,0
93,126,75,98,1
65,118,79,99,0
104,131,85,97,2
105,129,89,96,2
60,130,73,98,0
105,129,90,94,2
109,128,85,97,2
105,134,73,98,2
80,122,81,94,2
82,124,85,95,2
78,131,72,95,2
79,111,84,95,2
97,124,85,94,2
82,127,87,96,1
99,116,76,97,2
103,119,77,99,2
62,112,79,98,0
100,123,78,96,2
107,113,87,98,2
102,128,74,98,2
69,135,89,94,2
104,113,70,96,2
87,133,89,94,2
83,116,74,96,1
61,113,74,99,0
60,124,80,94,2
98,129,76,95,2
77,115,85,94,2
79,119,81,100,1
91,123,85,97,1
86,116,70,96,1
86,119,80,95,2
74,135,75,97,0
91,130,90,96,1
60,121,88,99,0
99,134,82,96,2
90,122,70,95,2
86,126,74,100,1
96,110,80,95,2
104,120,73,95,2
66,130,80,97,0
79,133,86,97,1
71,118,79,100,0
102,125,85,99,2
70,132,88,95,2
99,130,80,95,2
84,135,78,94,2
99,126,90,99,2
76,133,82,100,1
62,111,72,99,0
104,112,74,97,2
72,111,75,98,0
73,122,70,95,2
109,117,70,95,2
80,123,79,94,2
80,125,89,96,1
99,119,82,96,2
62,124,79,94,2
62,125,88,97,0
107,121,82,97,2
73,121,87,94,2
67,128,72,98,0
72,125,90,100,0
73,126,89,97,0
64,121,85,95,2
75,119,90,100,0
75,120,79,95,2
76,121,84,95,2
87,133,80,100,1
70,116,74,97,0
70,110,73,96,0
70,115,77,96,0
63,134,74,100,0
96,111,76,95,2
82,126,83,99,1
63,123,81,96,0
67,113,76,94,2
85,115,75,95,2
93,128,80,100,1
62,131,86,95,2
104,119,73,96,2
101,131,84,97,2
68,134,80,96,0
74,119,79,99,0
84,115,82,99,1
102,116,87,96,2
68,130,89,100,0
100,131,70,97,2
70,134,71,96,0
64,117,88,96,0
106,122,77,100,2
84,130,89,96,1
102,123,79,98,2
76,125,72,96,1
85,134,89,97,1
102,125,86,97,2
74,134,81,96,0
90,123,75,99,1
67,117,82,100,0
108,110,72,97,2
90,127,78,99,1
68,135,82,100,0
91,110,78,99,1
97,115,76,100,2
87,134,70,98,1
91,116,83,100,1
89,127,71,96,1
89,112,86,94,2
98,113,80,95,2
82,123,87,96,1
60,111,87,100,0
87,114,80,97,1
61,121,78,97,0
91,129,78,99,1
85,118,86,99,1
71,118,75,97,0
85,135,85,94,2
79,122,79,97,1
92,110,86,95,2
75,115,90,100,0
98,125,83,94,2
108,122,74,95,2
110,110,72,100,2
80,121,75,98,1
71,122,82,96,0
85,113,90,97,1
73,117,78,97,0
95,112,74,99,1
109,116,76,100,2
104,125,86,99,2
82,110,77,99,1
82,120,77,98,1
62,121,79,99,0
92,127,75,95,2
73,130,87,96,0
99,133,87,100,2
108,116,85,96,2
89,119,81,100,1
93,132,70,96,1
77,119,81,95,2
88,135,71,99,1
74,129,70,96,0
93,121,89,98,1
103,131,86,99,2
92,113,81,96,1
94,114,70,99,1
110,118,86,94,2
62,119,84,96,0
97,131,82,97,2
76,129,90,96,1
86,111,74,100,1
65,111,79,95,2
70,127,74,99,0
104,129,70,100,2
90,126,76,99,1
99,124,80,95,2
105,130,74,97,2
89,118,81,94,2
102,122,81,97,2
95,121,89,94,2
84,124,72,95,2
86,116,73,94,2
105,123,78,100,2
69,127,84,97,0
94,116,79,100,1
78,122,73,95,2
93,114,84,98,1
109,134,76,95,2
94,123,87,99,1
88,113,73,96,1
90,128,72,95,2
65,132,90,99,0
69,130,81,95,2
83,126,89,97,1
104,111,77,100,2
104,126,87,100,2
93,117,79,94,2
65,133,71,99,0
98,127,84,97,2
77,119,77,99,1
73,110,72,94,2
102,115,81,98,2
94,123,89,94,2
87,110,76,100,1
88,118,86,97,1
103,113,74,94,2
98,115,79,99,2
84,118,82,95,2
95,120,88,96,1
107,126,87,98,2
63,119,89,100,0
86,118,75,100,1
84,126,72,97,1
101,117,80,94,2
60,124,78,98,0
85,133,87,98,1
83,119,84,97,1
100,115,79,95,2
74,123,86,94,2
70,114,80,99,0
79,122,82,95,2
83,125,89,94,2
83,124,90,99,1
110,133,78,99,2
82,121,90,94,2
94,120,81,100,1
108,112,70,94,2
75,111,87,96,0
99,129,74,97,2
82,129,87,96,1
110,119,79,99,2
82,125,85,98,1
91,113,88,98,1
79,118,74,100,1
92,127,79,98,1
102,120,89,95,2
66,114,71,99,0
65,127,71,98,0
73,118,72,100,0
89,127,87,100,1
106,113,79,98,2
103,114,72,97,2
108,135,72,94,2
98,133,79,98,2
77,117,80,98,1
107,133,85,99,2
68,119,72,94,2
88,110,75,94,2
87,120,83,100,1
105,116,81,96,2
87,110,80,99,1
60,119,73,100,0
75,120,82,99,0
93,126,81,99,1
106,122,75,98,2
65,134,84,98,0
94,135,76,96,1
63,133,90,96,0
61,124,85,100,0
77,121,80,96,1
99,125,88,98,2
109,135,90,94,2
72,116,77,96,0
96,135,71,99,2
86,122,76,97,1
68,119,84,95,2
75,123,74,100,0
98,117,88,94,2
61,115,80,95,2
72,115,80,98,0
70,125,79,100,0
64,128,89,96,0
73,121,88,95,2
72,116,88,99,0
84,115,75,99,1
90,132,74,94,2
90,133,81,94,2
83,127,73,100,1
80,119,71,95,2
89,128,88,97,1
74,110,76,99,0
74,115,77,95,2
80,114,73,94,2
61,118,88,97,0
63,123,73,98,0
79,129,87,97,1
103,123,72,98,2
62,133,81,97,0
70,124,84,95,2
93,111,77,95,2
93,128,71,95,2
84,132,73,99,1
99,110,87,94,2
74,114,73,95,2
94,130,90,100,1
80,111,79,99,1
65,116,70,98,0
70,125,70,98,0
104,119,70,100,2
101,121,90,95,2
103,133,76,95,2
84,121,89,100,1
83,135,86,97,1
78,125,81,98,1
75,118,77,99,0
60,115,76,99,0
70,129,87,98,0
70,124,74,94,2
74,131,83,96,0
91,121,70,100,1
77,123,86,100,1
101,111,74,94,2
106,125,70,99,2
71,126,76,94,2
82,113,82,100,1
60,124,80,98,0
66,115,79,94,2
83,129,70,98,1
85,133,72,95,2
86,123,73,100,1
64,112,73,97,0
65,126,87,100,0
97,127,77,100,2
89,131,90,97,1
86,124,83,95,2
74,112,82,100,0
82,111,76,94,2
79,126,77,100,1
70,120,74,96,0
73,130,74,96,0
89,132,80,98,1
80,122,76,96,1
60,130,81,95,2
78,112,84,100,1
100,121,70,97,2
65,118,76,96,0
79,117,72,94,2
67,134,85,99,0
99,111,89,97,2
88,110,77,100,1
83,120,73,98,1
68,128,88,96,0
98,123,83,97,2
64,120,81,99,0
66,113,90,94,2
84,116,85,95,2
77,132,71,94,2
108,112,81,97,2
69,127,87,97,0
83,115,70,99,1
103,117,83,94,2
109,124,70,97,2
89,135,90,99,1
78,111,78,94,2
73,111,76,97,0
107,119,86,95,2
76,125,74,95,2
84,112,90,95,2
65,115,72,95,2
106,115,89,99,2
72,120,78,95,2
91,123,90,100,1
82,118,81,95,2
96,123,90,96,2
84,125,89,99,1
97,122,76,94,2
109,125,90,97,2
88,127,84,97,1
61,133,89,98,0
71,124,89,96,0
86,113,88,100,1
61,112,87,94,2
108,121,83,96,2
88,120,71,100,1
62,120,86,94,2
94,116,90,98,1
90,125,80,98,1
60,126,77,99,0
101,125,80,94,2
105,115,81,95,2
77,132,86,95,2
105,110,71,96,2
91,123,70,98,1
106,123,76,98,2
96,115,75,97,2
60,124,89,95,2
109,112,83,100,2
69,121,83,95,2
84,113,88,96,1
96,133,76,98,2
99,116,78,99,2
94,113,79,96,1
104,115,75,100,2
63,122,81,94,2
82,112,86,96,1
82,118,77,97,1
91,122,81,94,2
97,110,82,98,2
61,129,84,95,2
75,125,70,97,0
104,112,70,94,2
60,118,71,94,2
108,128,87,96,2
71,130,72,96,0
96,118,72,99,2
109,133,90,100,2
108,124,79,97,2
102,133,74,95,2
76,125,85,99,1
72,113,79,98,0
69,128,87,94,2
105,116,85,100,2
68,122,89,96,0
98,122,89,98,2
87,129,84,94,2
63,130,80,95,2
107,130,80,95,2
108,125,78,95,2
105,133,71,100,2
86,116,84,95,2
109,129,70,98,2
82,132,86,96,1
66,115,86,95,2
92,134,75,96,1
83,124,72,96,1
84,133,85,96,1
104,122,77,95,2
109,113,72,100,2
109,116,81,97,2
102,128,75,100,2
92,124,71,96,1
81,112,80,94,2
105,112,87,98,2
72,122,80,94,2
73,115,86,100,0
94,112,76,97,1
97,118,78,96,2
99,133,78,99,2
79,131,77,100,1
88,134,84,97,1
101,112,77,95,2
103,113,75,95,2
66,118,76,95,2
86,127,85,96,1
100,124,86,96,2
73,132,79,100,0
90,123,78,97,1
87,122,88,95,2
93,124,75,96,1
61,134,83,96,0
85,114,70,99,1
77,110,84,94,2
93,122,76,95,2
78,133,73,97,1
110,134,77,100,2
65,118,79,96,0
85,114,82,96,1
79,125,86,99,1
99,128,88,94,2
80,126,77,98,1
87,123,89,94,2
89,135,81,100,1
108,117,85,99,2
65,117,81,96,0
98,114,73,97,2
67,132,72,99,0
95,121,82,100,1
100,115,81,97,2
98,122,83,100,2
72,130,85,100,0
101,113,75,98,2
85,123,85,95,2
66,129,82,97,0
73,117,89,98,0
68,131,82,96,0
101,130,85,99,2
74,113,80,100,0
93,111,82,99,1
105,125,72,94,2
92,113,76,96,1
108,122,87,99,2
101,115,88,98,2
91,129,86,98,1
102,133,89,96,2
75,118,74,94,2
89,126,78,99,1
60,124,73,100,0
61,119,72,100,0
90,130,81,94,2
67,117,78,97,0
107,126,86,99,2
78,111,81,97,1
96,112,78,97,2
98,129,90,98,2
76,117,76,97,1
80,116,84,99,1
72,117,86,99,0
106,128,90,100,2
91,113,82,98,1
110,115,90,99,2
67,131,70,99,0
78,113,89,94,2
106,128,87,97,2
88,114,88,94,2
66,123,74,96,0
105,131,70,94,2
93,116,78,97,1
105,115,81,97,2
100,129,79,94,2
106,125,81,98,2
62,121,75,99,0
71,127,82,99,0
102,122,80,98,2
83,134,70,96,1
98,110,73,95,2
101,115,83,97,2
94,134,72,98,1
100,127,74,98,2
96,119,85,95,2
83,133,81,94,2
105,110,90,99,2
86,110,80,99,1
62,135,90,95,2
86,119,85,95,2
79,127,88,97,1
64,118,88,97,0
66,117,78,98,0
76,119,81,98,1
92,117,77,96,1
69,121,90,97,0
77,129,76,94,2
102,115,73,97,2
97,134,90,100,2
78,127,90,97,1
81,116,73,99,1
74,116,72,97,0
61,132,87,95,2
79,119,80,96,1
80,122,89,99,1
101,123,74,100,2
99,120,75,98,2
94,118,90,98,1
101,123,90,98,2
84,133,78,98,1
80,111,87,95,2
87,132,82,97,1
108,133,80,94,2
76,113,81,94,2
91,124,78,97,1
110,111,79,98,2
96,123,88,97,2
73,115,76,94,2
87,111,81,99,1
105,115,89,99,2
99,119,85,99,2
63,133,81,99,0
76,133,85,94,2
73,131,81,97,0
63,110,75,100,0
68,131,73,95,2
92,113,81,97,1
78,121,76,98,1
72,129,80,100,0
63,135,78,98,0
79,129,70,98,1
89,112,89,98,1
67,110,72,98,0
76,119,70,98,1
80,121,73,99,1
92,135,79,96,1
96,119,72,97,2
73,128,70,95,2
82,133,80,96,1
61,134,75,100,0
71,125,79,100,0
82,114,74,96,1
64,110,74,96,0
99,119,84,99,2
95,111,73,99,1
80,114,81,94,2
73,123,78,98,0
74,127,89,96,0
107,120,70,99,2
72,112,71,96,0
107,126,80,98,2
75,125,81,98,0
80,130,86,95,2
68,116,71,97,0
93,111,87,96,1
68,130,71,94,2
83,119,88,97,1
94,132,85,95,2
94,133,72,96,1
83,123,90,96,1
67,125,83,99,0
87,113,89,98,1
75,121,77,98,0
96,118,74,97,2
62,110,71,100,0
79,111,72,97,1
81,120,70,100,1
91,131,88,98,1
107,123,81,98,2
60,129,79,96,0
77,124,85,100,1
108,115,71,97,2
89,114,82,96,1
107,123,77,94,2
85,119,83,99,1
73,133,74,98,0
87,122,79,95,2
82,121,84,99,1
61,130,70,95,2
93,122,82,98,1
96,134,80,97,2
106,123,84,100,2
94,112,74,95,2
66,126,73,96,0
66,125,76,98,0
97,129,90,98,2
64,119,73,99,0
84,117,79,95,2
106,129,89,100,2
77,115,84,100,1
66,124,79,98,0
78,120,87,94,2
107,118,78,94,2
80,111,80,100,1
67,119,75,100,0
109,116,82,99,2
76,133,87,98,1
101,120,75,97,2
83,112,81,96,1
92,126,90,98,1
62,126,87,98,0
65,123,76,95,2
69,124,70,95,2
96,110,73,100,2
71,126,70,100,0
98,134,82,94,2
83,124,77,98,1
93,133,85,95,2
89,117,85,96,1
82,132,77,96,1
64,110,77,99,0
86,111,89,94,2
70,110,71,97,0
79,124,75,94,2
76,123,79,97,1
72,130,84,99,0
104,111,75,94,2
98,120,71,98,2
94,116,80,99,1
70,129,90,95,2
87,127,70,98,1
61,116,78,97,0
69,121,77,96,0
61,128,85,95,2
110,127,82,97,2
91,126,77,100,1
68,132,87,98,0
107,124,90,97,2
66,132,75,96,0
75,123,72,97,0
84,115,83,95,2
69,111,83,95,2
67,113,70,98,0
84,129,79,95,2
75,115,86,95,2
81,121,87,97,1
92,132,86,100,1
82,120,80,96,1
108,124,76,100,2
87,131,73,95,2
73,122,81,98,0
101,119,79,98,2
100,124,72,96,2
76,135,77,96,1
71,123,71,96,0
90,120,75,96,1
108,129,89,94,2
90,127,87,95,2
108,121,87,99,2
86,129,74,97,1
78,129,71,94,2
70,111,72,97,0
74,118,74,97,0
93,114,76,100,1
84,128,75,95,2
92,135,76,94,2
98,130,85,98,2
78,113,89,99,1
93,131,82,96,1
100,132,79,100,2
74,133,90,97,0
106,123,73,95,2
81,120,75,98,1
80,129,72,99,1
94,119,89,97,1
61,118,89,100,0
108,131,75,99,2
64,131,84,94,2
96,134,84,98,2
97,119,70,100,2
73,130,70,98,0
72,126,72,95,2
73,116,85,97,0
66,125,83,95,2
76,115,85,95,2
109,127,82,96,2
85,121,78,94,2
63,112,84,94,2
99,114,71,97,2
104,117,77,94,2
89,128,78,97,1
95,118,89,96,1
62,120,74,96,0
91,134,85,96,1
80,135,87,94,2
61,112,81,100,0
86,122,89,97,1
109,127,74,96,2
62,113,76,96,0
63,133,71,99,0
76,130,79,98,1
73,130,73,94,2
84,129,72,99,1
102,112,89,95,2
71,125,85,95,2
70,133,87,95,2
107,116,81,100,2
82,115,72,96,1
63,113,71,99,0
100,120,87,98,2
73,132,74,95,2
71,126,71,98,0
99,135,80,98,2
83,111,82,98,1
100,112,79,99,2
72,128,83,98,0
89,133,86,96,1
94,111,90,97,1
61,119,90,95,2
80,127,73,100,1
99,116,89,95,2
94,110,85,94,2
92,125,71,94,2
108,128,86,96,2
102,111,89,95,2
71,129,77,99,0
69,110,73,100,0
72,114,76,98,0
76,124,88,99,1
77,114,88,99,1
60,129,83,94,2
99,135,82,100,2
100,111,82,100,2
108,119,90,96,2
86,135,81,99,1
63,133,80,100,0
108,117,72,96,2
69,120,86,98,0
64,123,78,99,0
95,135,80,94,2
99,120,76,96,2
67,110,70,98,0
67,117,72,96,0
99,122,74,100,2
76,135,72,98,1
61,130,84,98,0
90,117,82,94,2
85,133,90,99,1
107,130,70,99,2
103,123,85,96,2
71,112,70,98,0
101,135,85,98,2
67,111,85,94,2
102,117,77,100,2
86,130,79,94,2
83,126,71,95,2
105,116,76,94,2
104,133,72,98,2
94,112,86,98,1
105,112,85,98,2
60,126,90,98,0
67,134,74,99,0
100,129,78,97,2
75,110,75,94,2
86,117,75,94,2
65,115,73,95,2
72,110,70,94,2
62,128,80,100,0
70,120,86,96,0
67,114,73,99,0
106,128,87,97,2
